Training Scratch: epoch,train_loss(%)
Saved best model with accuracy: 0.7982832618025751 at epoch 40
040,0.0002, 0.9820, 0.7983, 0.8911, 0.8119, 0.8089, 0.8224
041,0.0000, 0.9824, 0.7744, 0.9023, 0.8309, 0.8408, 0.7960
042,0.0001, 0.9828, 0.7970, 0.8985, 0.8246, 0.8297, 0.8069
043,0.0002, 0.9832, 0.7918, 0.8932, 0.8167, 0.8137, 0.8271
Saved best model with accuracy: 0.8045112781954887 at epoch 44
044,0.0002, 0.9836, 0.8045, 0.8990, 0.8267, 0.8306, 0.8131
Saved best model with accuracy: 0.8111587982832618 at epoch 45
045,0.0000, 0.9840, 0.8112, 0.8968, 0.8226, 0.8239, 0.8178
046,0.0001, 0.9843, 0.7725, 0.8871, 0.8067, 0.7951, 0.8474
047,0.0001, 0.9847, 0.7768, 0.8878, 0.8084, 0.7969, 0.8489
048,0.0000, 0.9850, 0.7940, 0.8928, 0.8171, 0.8120, 0.8349
Saved best model with accuracy: 0.8133047210300429 at epoch 49
049,0.0001, 0.9853, 0.8133, 0.8980, 0.8253, 0.8266, 0.8209
050,0.0003, 0.9856, 0.7704, 0.8856, 0.8046, 0.7929, 0.8458
051,0.0001, 0.9859, 0.7275, 0.8661, 0.7729, 0.7441, 0.8738
052,0.0001, 0.9861, 0.7361, 0.8725, 0.7843, 0.7605, 0.8676
053,0.0001, 0.9864, 0.7876, 0.8913, 0.8133, 0.8071, 0.8349
054,0.0001, 0.9866, 0.7725, 0.8868, 0.8057, 0.7956, 0.8411
055,0.0001, 0.9869, 0.7725, 0.8878, 0.8070, 0.7982, 0.8380
056,0.0000, 0.9871, 0.7790, 0.8890, 0.8091, 0.8018, 0.8349
057,0.0000, 0.9873, 0.7833, 0.8899, 0.8101, 0.8044, 0.8302
058,0.0000, 0.9876, 0.7854, 0.8901, 0.8105, 0.8058, 0.8271
059,0.0000, 0.9878, 0.7876, 0.8904, 0.8112, 0.8067, 0.8271
060,0.0000, 0.9880, 0.8004, 0.8937, 0.8157, 0.8142, 0.8209
Final Results: 
Train Accuracy| Eval Accuracy|Test Accuracy: 0.9731,0.8849,0.8937
Test Worst Group Accuracy: 0.8157
The Group is :(0.0,1.0) | Test Worst Group Accuracy: 0.8142
The Group is :(1.0,0.0) | Test Worst Group Accuracy: 0.8209
The Group is :(0.0,0.0) | Test Worst Group Accuracy: 0.9792
The Group is :(1.0,1.0) | Test Worst Group Accuracy: 0.9455
Best Results: 
Train Accuracy| Eval Accuracy|Test Accuracy: 0.9700,0.8924,0.8980
Test Worst Group Accuracy: 0.8253
The Group is :(0.0,1.0) | Test Worst Group Accuracy: 0.8266
The Group is :(1.0,0.0) | Test Worst Group Accuracy: 0.8209
The Group is :(0.0,0.0) | Test Worst Group Accuracy: 0.9778
The Group is :(1.0,1.0) | Test Worst Group Accuracy: 0.9455
